receiver_azimuth_deg,frequency_hz,transfer_real,transfer_imag,magnitude_db
-84,50,0.02516328414826401,0.0079240545496246616,-31.574022982796542
-84,500,0.0044253618011051042,-0.0178322632121528,-34.716317327720375
-84,5000,-0.0054070384470420512,0.0070941225330776866,-40.992908187270203
-84,10000,0.0019560167967856532,-0.0062386302684311811,-43.69099343818354
-72,50,0.021893880195425007,0.0030076300744680453,-33.112351678322199
-72,500,-0.00040822469969280223,-0.010460329937562348,-39.602482943312282
-72,5000,-0.0017432333383581801,0.0030413179872830977,-49.105019188344571
-72,10000,0.00055849906506933648,-0.0024170590915613653,-52.108357433531232
-60,50,0.019004467221323883,0.00042867066039721345,-34.420676948906042
-60,500,-0.00091492768038026195,-0.0072931208515549231,-42.673915232570849
-60,5000,-0.0011429413834838293,0.0020531426881033733,-52.579264137944918
-60,10000,0.00036392217203072059,-0.0016214253084142931,-55.588613410020642
-48,50,0.016854286525781016,-0.00086490659745404926,-35.454370844718838
-48,500,-0.00090712728798263945,-0.0058515308154920374,-44.551473016402468
-48,5000,-0.00090814739291641923,0.0016437816153075488,-54.526253636413465
-48,10000,0.00028874067325017436,-0.0012962032701073353,-57.536210651451363
-36,50,0.015416682994276636,-0.0014925216041222287,-36.199666106320727
-36,500,-0.00085432838023577983,-0.0051196611926634357,-45.695893878900449
-36,5000,-0.00079279433696056122,0.0014390349386471143,-55.687416993082046
-36,10000,0.00025193313762284533,-0.0011341403516346973,-58.697483875117726
-24,50,0.014581823545441819,-0.0017776840860980092,-36.65969211027101
-24,500,-0.00081693365549260295,-0.004751545637900788,-46.33678547919488
-24,5000,-0.0007353134227580944,0.0013362627716934081,-56.333372617355444
-24,10000,0.0002336173101882028,-0.0010529108824908931,-59.343462135391967
-12,50,0.014262235575314178,-0.0018720026393222692,-36.842064347608584
-12,500,-0.00080189656548327237,-0.0046194081342383316,-46.579333968318153
-12,5000,-0.00071474137458620393,0.001299372873044981,-56.577303173243756
-12,10000,0.00022706585521982509,-0.0010237704699122506,-59.587396457080118
0,50,-0.012586186900814873,0.0018466009249174923,-37.909623398200793
0,500,0.0007122199286117843,0.0040529543987812503,-47.712482260988637
0,5000,0.00062700542305128718,-0.0011404087182125902,-57.7117175762966
0,10000,-0.00019917812855166001,0.0008984462505293849,-60.721793582263423
12,50,-0.012768151404661941,0.001809243971804052,-37.791102211686947
12,500,0.0007211508215459304,0.0041218773677143116,-47.567155518626841
12,5000,0.00063770813466879636,-0.0011596726974255475,-57.565867762234653
12,10000,-0.00020258413838032918,0.00091365247411966349,-60.575944756939549
24,50,-0.013335498765822917,0.0016764104679125246,-37.431719404259461
24,500,0.00074856137252706217,0.00434412458741993,-47.114878049003181
24,5000,0.00067225902312137344,-0.0012217693109707738,-57.111580063701709
24,10000,-0.00021358263552188371,0.00096268310717729307,-60.121656317360568
36,50,-0.01435341631556065,0.001374957311681978,-36.821223916584067
36,500,0.00079529574390083168,0.0047756929563491967,-46.300472371101051
36,5000,0.00073957278006764641,-0.0013423135081305384,-56.291588706938342
36,10000,-0.00023502513895040354,0.0010579299506098146,-59.301645076775117
48,50,-0.015928572341801214,0.00074207280304089667,-35.947047251280203
48,500,0.0008552262872061567,0.0055538322394931092,-45.006364973101903
48,5000,0.00086209154344105805,-0.0015600329396001937,-54.979958262449429
48,10000,-0.0002741105039195911,0.0012302216797954702,-57.989903764131732
60,50,-0.01818372566607411,-0.00055141626744062454,-34.802350701004279
60,500,0.00086854083603223249,0.0070300664682390358,-42.995022518835064
60,5000,0.0011022488681481132,-0.0019791154571027355,-52.897259988220213
60,10000,-0.00035099647713148846,0.0015631071554626415,-55.906583072759481
72,50,-0.021154284387675963,-0.0031278301290540138,-33.398110790122708
72,500,0.00036614714420728803,0.010223728849244277,-39.802246835217026
72,5000,0.0017066351777073206,-0.0029747187885003756,-49.295352377338119
72,10000,-0.00054687431411508793,0.00236459545640529,-52.298564520764479
84,50,-0.024487005946630096,-0.0080407506648414919,-31.776572362955985
84,500,-0.0044640460748557086,0.017616137662969031,-34.811492657213407
84,5000,0.0053736089590040769,-0.0070332759567421251,-41.060017758574077
84,10000,-0.00194539871123328,0.0061907000452303424,-43.756215324746549
